cc_num,gender,city,job,dob
2468117351683689,M,Los Angeles,Lawyer,1992-12-07
7312796986089604,F,Houston,Clerk,1969-09-29
8219705739824918,M,Phoenix,Doctor,2002-12-20
9983622937436029,F,Phoenix,Teacher,1970-03-13
5847400826403727,M,Los Angeles,Engineer,1986-08-20
6126632551643074,M,Houston,Nurse,1967-12-26
2801374844713453,F,Chicago,Engineer,2002-10-12
5720410738413993,F,Los Angeles,Teacher,1975-02-12
5759528691173043,F,Chicago,Clerk,1964-12-26
9176521297121230,M,New York,Nurse,1978-09-30
7375843319033803,M,Chicago,Teacher,1977-06-10
2047360634136339,M,Los Angeles,Lawyer,1968-09-03
4217166742735358,M,Houston,Engineer,1991-03-02
6874874542906521,F,Chicago,Lawyer,1981-12-03
5743724779323932,F,New York,Clerk,1969-07-27
9654872472567215,F,Houston,Doctor,1986-12-04
6993579738258838,F,Phoenix,Artist,1981-05-09
8630555527883372,M,Phoenix,Engineer,1970-09-17
4670281932713873,M,Houston,Doctor,1956-10-26
8440232517975683,F,Los Angeles,Nurse,1995-09-16
5283666535001058,F,Chicago,Teacher,1965-03-22
8234212817097551,F,Chicago,Teacher,1980-04-01
2795820813047956,F,Houston,Clerk,1983-09-27
8186428431838732,F,Chicago,Clerk,1957-08-18
5907673211065893,M,Phoenix,Engineer,1986-10-06
4190774759011013,M,Houston,Artist,1969-12-15
6997559541615605,M,Chicago,Artist,1989-08-27
9953660435726429,M,New York,Teacher,1994-11-25
2817868126442547,F,Los Angeles,Teacher,1955-10-11
8060511762642782,F,New York,Doctor,1996-07-08
7665762872999898,M,New York,Lawyer,1957-07-24
6181243869749533,F,Chicago,Teacher,1969-05-07
8620383969286195,M,Houston,Doctor,1991-03-19
5609314010487205,F,Phoenix,Clerk,1999-12-13
5700571374994535,M,Houston,Lawyer,1991-03-08
1899808323479476,F,Chicago,Teacher,2002-12-31
2661147954578566,F,Chicago,Engineer,1981-04-02
3027985595749481,M,Phoenix,Engineer,1967-09-17
7114656218609078,F,New York,Engineer,1965-03-24
5592459586783938,M,New York,Nurse,1964-01-07
2614458865063690,M,Houston,Engineer,2000-02-09
6490495945119107,F,Los Angeles,Teacher,1972-02-07
1379606186864305,M,Chicago,Teacher,1960-08-12
2823728314429617,F,Phoenix,Artist,2005-01-25
9533648492502861,F,Houston,Engineer,1960-04-21
